filename,label,split
0.00_1785026663996_NoResult.png,0627,val
0.00_1785030515021_NoResult.png,0312,val
0.00_1785025850227_NoResult.png,0244,val
0.00_1785049734308_NoResult.png,0159,val
0.00_1785049740939_NoResult.png,0205,val
0.00_1785028584586_NoResult.png,2026,val
0.00_1785027933299_NoResult.png,1040,val
0.00_1785027983540_NoResult.png,1129,val
0.81_1785030069221_02.png,4253,val
0.00_1785029340877_NoResult.png,3142,val
0.00_1785027325300_NoResult.png,0204,val
0.00_1785048934193_NoResult.png,0103,val
0.00_1785026088508_NoResult.png,0638,val
0.00_1785026475359_NoResult.png,0320,val
0.81_1785027420544_11.png,0337,val
0.00_1785049705492_NoResult.png,0131,val
0.84_1785027918912_112.png,1026,val
0.00_1785029561276_NoResult.png,3502,val
0.00_1785030642621_NoResult.png,0516,val
0.00_1785049663395_NoResult.png,0050,val
0.00_1785027691843_NoResult.png,0717,val
0.00_1785029039082_NoResult.png,2726,val
0.75_1785027507317_111.png,0500,val
0.00_1785028728043_NoResult.png,2247,val
0.00_1785028923548_NoResult.png,2533,val
0.00_1785030194196_NoResult.png,4456,val
0.00_1785028167894_NoResult.png,1430,val
0.00_1785030225380_NoResult.png,4503,val
0.00_1785026563062_NoResult.png,0447,val
0.00_1785026510445_NoResult.png,0355,val
0.00_1785027749308_NoResult.png,0814,val
0.00_1785027360440_NoResult.png,0238,val
0.00_1785028649110_NoResult.png,2129,val
0.00_1785027945252_NoResult.png,1052,val
0.00_1785027646304_NoResult.png,0632,val
0.00_1785027835330_NoResult.png,0938,val
0.00_1785049774159_NoResult.png,0238,val
0.00_1785027352800_NoResult.png,0231,val
0.00_1785025920343_NoResult.png,0353,val
0.00_1785026086326_NoResult.png,0636,val
0.00_1785028148670_NoResult.png,1411,val
0.00_1785028998076_NoResult.png,2646,val
0.00_1785030578821_NoResult.png,0414,val
0.00_1785030105529_NoResult.png,4329,val
0.00_1785029733643_NoResult.png,3751,val
0.00_1785026462203_NoResult.png,0307,val
0.00_1785028766360_NoResult.png,2324,val
0.00_1785025404268_NoResult.png,0353,val
0.00_1785026718871_NoResult.png,0721,val
0.00_1785029350466_NoResult.png,3152,val
0.00_1785029259393_NoResult.png,3022,val
0.00_1785028668246_NoResult.png,2148,val
0.00_1785048923140_NoResult.png,0052,val
0.00_1785030076396_NoResult.png,4300,val
0.00_1785027825786_NoResult.png,0928,val
0.00_1785028732829_NoResult.png,2251,val
0.81_1785026290694_21.png,0021,val
0.00_1785030115095_NoResult.png,4338,train
0.73_1785029654615_111.png,3633,train
0.74_1785027801896_11.png,0905,train
0.00_1785027782761_NoResult.png,0846,train
0.00_1785027988319_NoResult.png,1134,train
0.00_1785028990884_NoResult.png,2639,train
0.00_1785030038138_NoResult.png,4222,train
0.00_1785029791101_NoResult.png,3847,train
0.00_1785027713378_NoResult.png,0738,train
0.74_1785029812644_11.png,3909,train
0.00_1785027677500_NoResult.png,0703,train
0.00_1785027832942_NoResult.png,0936,train
0.00_1785030227768_NoResult.png,4505,train
0.00_1785048929760_NoResult.png,0058,train
0.00_1785025519183_NoResult.png,0547,train
0.00_1785029606739_NoResult.png,3546,train
0.00_1785025822237_NoResult.png,0217,train
0.81_1785048947491_111.png,0116,train
0.00_1785028057638_NoResult.png,1242,train
0.00_1785028378689_NoResult.png,1724,train
0.00_1785049842800_NoResult.png,0346,train
0.00_1785030103134_NoResult.png,4326,train
0.00_1785026018425_NoResult.png,0529,train
0.83_1785026020621_11.png,0531,train
0.00_1785049747574_NoResult.png,0212,train
0.00_1785027978754_NoResult.png,1125,train
0.00_1785030570018_NoResult.png,0405,train
0.00_1785026081947_NoResult.png,0631,train
0.00_1785028383491_NoResult.png,1729,train
0.81_1785049716580_101.png,0142,train
0.00_1785049822188_NoResult.png,0326,train
0.84_1785027935689_111.png,1042,train
0.87_1785025985794_12.png,0457,train
0.00_1785028629946_NoResult.png,2110,train
0.00_1785025777924_NoResult.png,0134,train
0.00_1785029800666_NoResult.png,3857,train
0.00_1785029599574_NoResult.png,3539,train
0.00_1785025526177_NoResult.png,0554,train
0.00_1785028911580_NoResult.png,2521,train
0.00_1785029635453_NoResult.png,3614,train
0.74_1785029446293_12.png,3326,train
0.00_1785028730441_NoResult.png,2249,train
0.00_1785026022808_NoResult.png,0533,train
0.00_1785049758645_NoResult.png,0223,train
0.00_1785027768413_NoResult.png,0832,train
0.00_1785029276171_NoResult.png,3039,train
0.00_1785027362664_NoResult.png,0240,train
0.00_1785028357139_NoResult.png,1703,train
0.00_1785049816667_NoResult.png,0320,train
0.00_1785027861624_NoResult.png,1000,train
0.00_1785026571811_NoResult.png,0456,train
0.00_1785028735215_NoResult.png,2254,train
0.00_1785030567818_NoResult.png,0403,train
0.00_1785027320859_NoResult.png,0159,train
0.00_1785029980335_NoResult.png,4126,train
0.00_1785049652334_NoResult.png,0039,train
0.00_1785026007485_NoResult.png,0518,train
0.00_1785029511034_NoResult.png,3430,train
0.00_1785028696953_NoResult.png,2216,train
0.00_1785027357247_NoResult.png,0235,train
0.00_1785028187020_NoResult.png,1449,train
0.00_1785025994315_NoResult.png,0506,train
0.00_1785026418341_NoResult.png,0224,train
0.73_1785049658964_00.png,0046,train
0.00_1785049696631_NoResult.png,0123,train
0.00_1785029757593_NoResult.png,3815,train
0.00_1785028966887_NoResult.png,2616,train
0.00_1785026354709_NoResult.png,0123,train
0.00_1785028369114_NoResult.png,1715,train
0.74_1785025717013_111.png,0035,train
0.00_1785029649831_NoResult.png,3629,train
0.00_1785028131932_NoResult.png,1355,train
0.00_1785026573999_NoResult.png,0458,train
0.00_1785028043288_NoResult.png,1228,train
0.00_1785025703887_NoResult.png,0023,train
