filename,label
syn_0000_3238.png,3238
syn_0001_3620.png,3620
syn_0002_3035.png,3035
syn_0003_0611.png,0611
syn_0004_1835.png,1835
syn_0005_3025.png,3025
syn_0006_4455.png,4455
syn_0007_1520.png,1520
syn_0008_3639.png,3639
syn_0009_0409.png,0409
syn_0010_4702.png,4702
syn_0011_3021.png,3021
syn_0012_3453.png,3453
syn_0013_2749.png,2749
syn_0014_0715.png,0715
syn_0015_5248.png,5248
syn_0016_3428.png,3428
syn_0017_0521.png,0521
syn_0018_2002.png,2002
syn_0019_5402.png,5402
syn_0020_0737.png,0737
syn_0021_3649.png,3649
syn_0022_0620.png,0620
syn_0023_2900.png,2900
syn_0024_0208.png,0208
syn_0025_0940.png,0940
syn_0026_3539.png,3539
syn_0027_0456.png,0456
syn_0028_4152.png,4152
syn_0029_2004.png,2004
syn_0030_0712.png,0712
syn_0031_5222.png,5222
syn_0032_5524.png,5524
syn_0033_4820.png,4820
syn_0034_2913.png,2913
syn_0035_1310.png,1310
syn_0036_3314.png,3314
syn_0037_2200.png,2200
syn_0038_1329.png,1329
syn_0039_2105.png,2105
syn_0040_1106.png,1106
syn_0041_1236.png,1236
syn_0042_4334.png,4334
syn_0043_2810.png,2810
syn_0044_0350.png,0350
syn_0045_4754.png,4754
syn_0046_3342.png,3342
syn_0047_5911.png,5911
syn_0048_3552.png,3552
syn_0049_3736.png,3736
syn_0050_0323.png,0323
syn_0051_1738.png,1738
syn_0052_1040.png,1040
syn_0053_4736.png,4736
syn_0054_3513.png,3513
syn_0055_5349.png,5349
syn_0056_4055.png,4055
syn_0057_0147.png,0147
syn_0058_0034.png,0034
syn_0059_4943.png,4943
syn_0060_4206.png,4206
syn_0061_4117.png,4117
syn_0062_3940.png,3940
syn_0063_2203.png,2203
syn_0064_5116.png,5116
syn_0065_3704.png,3704
syn_0066_5702.png,5702
syn_0067_0644.png,0644
syn_0068_4118.png,4118
syn_0069_1244.png,1244
syn_0070_1930.png,1930
syn_0071_5800.png,5800
syn_0072_4714.png,4714
syn_0073_3713.png,3713
syn_0074_0927.png,0927
syn_0075_0525.png,0525
syn_0076_0741.png,0741
syn_0077_5801.png,5801
syn_0078_0113.png,0113
syn_0079_1435.png,1435
syn_0080_4843.png,4843
syn_0081_1821.png,1821
syn_0082_3747.png,3747
syn_0083_2541.png,2541
syn_0084_3750.png,3750
syn_0085_4756.png,4756
syn_0086_2926.png,2926
syn_0087_5709.png,5709
syn_0088_2127.png,2127
syn_0089_3344.png,3344
syn_0090_5016.png,5016
syn_0091_3748.png,3748
syn_0092_3021.png,3021
syn_0093_3747.png,3747
syn_0094_4516.png,4516
syn_0095_4205.png,4205
syn_0096_1631.png,1631
syn_0097_1717.png,1717
syn_0098_0434.png,0434
syn_0099_5949.png,5949
syn_0100_0803.png,0803
syn_0101_0910.png,0910
